CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.678125	2.4375	-8.963875
0.1	0.05	1100.0	0.0	0.678125	2.453125	-10.512901
0.1	0.05	1100.0	0.0	0.678125	2.46875	-12.0933
0.1	0.05	1100.0	0.0	0.678125	2.484375	-11.3066025
0.1	0.05	1100.0	0.0	0.678125	2.5	-11.597176
0.1	0.05	1100.0	0.0	0.69375	1.5	-53.57057
0.1	0.05	1100.0	0.0	0.69375	1.515625	-67.38141
0.1	0.05	1100.0	0.0	0.69375	1.53125	-68.21072
0.1	0.05	1100.0	0.0	0.69375	1.546875	-75.646904
0.1	0.05	1100.0	0.0	0.69375	1.5625	-76.072815
0.1	0.05	1100.0	0.0	0.69375	1.578125	-79.626465
0.1	0.05	1100.0	0.0	0.69375	1.59375	-79.8826
0.1	0.05	1100.0	0.0	0.69375	1.609375	-81.934006
0.1	0.05	1100.0	0.0	0.69375	1.625	-82.109055
0.1	0.05	1100.0	0.0	0.69375	1.640625	-83.46188
0.1	0.05	1100.0	0.0	0.69375	1.65625	-83.59418
0.1	0.05	1100.0	0.0	0.69375	1.671875	-84.57225
0.1	0.05	1100.0	0.0	0.69375	1.6875	-84.67979
0.1	0.05	1100.0	0.0	0.69375	1.703125	-85.43487
0.1	0.05	1100.0	0.0	0.69375	1.71875	-85.52515
0.1	0.05	1100.0	0.0	0.69375	1.734375	-85.62105
0.1	0.05	1100.0	0.0	0.69375	1.75	-86.21319
0.1	0.05	1100.0	0.0	0.69375	1.765625	-86.292694
0.1	0.05	1100.0	0.0	0.69375	1.78125	-86.37335
0.1	0.05	1100.0	0.0	0.69375	1.796875	-86.45307
0.1	0.05	1100.0	0.0	0.69375	1.8125	-86.91641
0.1	0.05	1100.0	0.0	0.69375	1.828125	-86.9778
0.1	0.05	1100.0	0.0	0.69375	1.84375	-87.035675
0.1	0.05	1100.0	0.0	0.69375	1.859375	-87.08965
0.1	0.05	1100.0	0.0	0.69375	1.875	-87.139015
0.1	0.05	1100.0	0.0	0.69375	1.890625	-87.4951
0.1	0.05	1100.0	0.0	0.69375	1.90625	-87.52709
0.1	0.05	1100.0	0.0	0.69375	2.09375	-88.049675
0.1	0.05	1100.0	0.0	0.69375	2.109375	-88.024414
0.1	0.05	1100.0	0.0	0.69375	2.125	-87.99574
0.1	0.05	1100.0	0.0	0.69375	2.140625	-88.18492
0.1	0.05	1100.0	0.0	0.69375	2.15625	-88.14867
0.1	0.05	1100.0	0.0	0.69375	2.171875	-88.10943
0.1	0.05	1100.0	0.0	0.69375	2.1875	-88.06723
0.1	0.05	1100.0	0.0	0.69375	2.203125	-88.20918
0.1	0.05	1100.0	0.0	0.69375	2.21875	-88.18297
0.1	0.05	1100.0	0.0	0.69375	2.234375	-88.13081
