CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.42499998	0.1515625	-0.10225901
0.1	0.05	1100.0	0.0	0.42499998	0.153125	-0.11253944
0.1	0.05	1100.0	0.0	0.42499998	0.1546875	-0.12301633
0.1	0.05	1100.0	0.0	0.42499998	0.15625	-0.119680315
0.1	0.05	1100.0	0.0	0.42499998	0.1578125	-0.12453595
0.1	0.05	1100.0	0.0	0.42499998	0.159375	-0.13552222
0.1	0.05	1100.0	0.0	0.42499998	0.1609375	-0.12673965
0.1	0.05	1100.0	0.0	0.42499998	0.1625	-0.14127037
0.1	0.05	1100.0	0.0	0.42499998	0.1640625	-0.14951178
0.1	0.05	1100.0	0.0	0.42499998	0.165625	-0.15256879
0.1	0.05	1100.0	0.0	0.42499998	0.16718751	-0.15294507
0.1	0.05	1100.0	0.0	0.42499998	0.16875	-0.16484734
0.1	0.05	1100.0	0.0	0.42499998	0.1703125	-0.16011444
0.1	0.05	1100.0	0.0	0.42499998	0.171875	-0.17607895
0.1	0.05	1100.0	0.0	0.42499998	0.1734375	-0.1721504
0.1	0.05	1100.0	0.0	0.42499998	0.17500001	-0.17390624
0.1	0.05	1100.0	0.0	0.42499998	0.1765625	-0.18646374
0.1	0.05	1100.0	0.0	0.42499998	0.178125	-0.17917582
0.1	0.05	1100.0	0.0	0.42499998	0.1796875	-0.18690875
0.1	0.05	1100.0	0.0	0.42499998	0.18125	-0.1849049
0.1	0.05	1100.0	0.0	0.42499998	0.18281251	-0.18600067
0.1	0.05	1100.0	0.0	0.42499998	0.184375	-0.1910527
0.1	0.05	1100.0	0.0	0.42499998	0.1859375	-0.20423833
0.1	0.05	1100.0	0.0	0.42499998	0.1875	-0.19758603
0.1	0.05	1100.0	0.0	0.42499998	0.1890625	-0.20581958
0.1	0.05	1100.0	0.0	0.42499998	0.19062501	-0.2160857
0.1	0.05	1100.0	0.0	0.43749997	0.1078125	0.03110516
0.1	0.05	1100.0	0.0	0.43749997	0.109375	0.030283317
0.1	0.05	1100.0	0.0	0.43749997	0.1109375	0.026388451
0.1	0.05	1100.0	0.0	0.43749997	0.112500004	0.02642031
0.1	0.05	1100.0	0.0	0.43749997	0.1140625	0.023815483
0.1	0.05	1100.0	0.0	0.43749997	0.115625	0.021748379
0.1	0.05	1100.0	0.0	0.43749997	0.1171875	0.021005705
0.1	0.05	1100.0	0.0	0.43749997	0.118750006	0.016829088
0.1	0.05	1100.0	0.0	0.43749997	0.120312504	0.0176505
0.1	0.05	1100.0	0.0	0.43749997	0.121875	0.011699215
0.1	0.05	1100.0	0.0	0.43749997	0.1234375	0.008917749
0.1	0.05	1100.0	0.0	0.43749997	0.125	0.005839467
0.1	0.05	1100.0	0.0	0.43749997	0.1265625	0.0045633316
0.1	0.05	1100.0	0.0	0.43749997	0.128125	9.121895E-4
0.1	0.05	1100.0	0.0	0.43749997	0.1296875	0.002618
0.1	0.05	1100.0	0.0	0.43749997	0.13125	-0.004638776
0.1	0.05	1100.0	0.0	0.43749997	0.1328125	-0.0064176023
0.1	0.05	1100.0	0.0	0.43749997	0.134375	-0.014017999
0.1	0.05	1100.0	0.0	0.43749997	0.1359375	-0.020488054
0.1	0.05	1100.0	0.0	0.43749997	0.1375	-0.027921677
0.1	0.05	1100.0	0.0	0.43749997	0.1390625	-0.035607725
